product_name,asin_x,seller_sku,uom,asin
"
Allergoff Milben-Spray - Das effektivste Milbenspray für Matratzen, Bett & Textilien - Bekämpfung von Milben und Allergenen","
B0CRSS6DHS","
ALLERGOFF_2_UK",0.0,
"
Catchmaster Bettwanzen Monitor zur Prävention einzigartig | biologisch abbaubares Mittel gegen Bettwanzen | 4 Stück | 7cm x 5cm","
B0D829T6XK","
CM-BM-4",0.0,
"
Novokill Fruit Fly Attractant | 1x 100ml Attractants up to 200 Days Protection | Easy Fruit Fly Trap Attactant for Kitchen | Effective Fruit Fly Killer",B09ZB8L9R4,FG-GXW2-2ANL,0.0,
"
Novokill Pearl 2X Cajas de Cebo para Pasta - Incl. 2X 10g de Cebo de Veneno - Portacebos Listos para Usar - Eficaz contra Ratones - Veneno para Ratones sin Resistencia","
B0BMGH2C7R","
DC-XPE5-TD6X",0.0,
Allergoff Milben Spray 400ml & Waschmittel 120ml Set ,,,9.0,
Allergoff Milben Spray 400ml & Waschmittel 120ml Set - Giftfrei & Sicher für Kinder & Haustiere - 6 Monate Langzeitschutz - Milbenspray für Matratzen & Waschmittel für Allergiker Bettwäsche ,B0DSGH4FGG,"
FT-AUD8-ALLE-WASH-6",0.0,
Allergoff Milben Spray und Milben Waschmittel | Set mit Milbenspray für Matratzen und Milben Waschmittel | Ideal zur Behandlung von Allergiker Bettwäsche | Hausstaubmilben bekämpfen,B0BQMQ7FD3,"	
FT-AUD8-ALLE-WASH",0.0,
"Allergoff Milben-Spray - Das effektivste Milbenspray für Matratzen, Bett & Textilien - Bekämpfung von Milben und Allergenen - Gegen Allergene von Tieren, Schimmel-Pilze, Pollen (800ml (2er Pack))",B09QKY6CDH,FT-AUD8-ALLE2,0.0,
"Allergoff Milben-Spray - Das effektivste Milbenspray für Polster, Matratzen & Bett - Bekämpfung von Milben und Allergenen - Für Allergiker - Gegen Allergene von Tieren, Schimmel-Pilze, Pollen 
COG: 3,99 / Price: 19,99",B09JGS8XQ5,FT-AUD8-ALLE,0.0,
Allergoff Spray und Wash Set,,,4.0,
Allergoff Wash 1er,,,2.02,
Allergoff Wash 6er Pack,,,7.0,
"Allergoff Wash Milben Waschmittel | Wirksam gegen Milben, Flöhe, Läuse, Bettwanzen | Anwendung vor der Wäsche | Ergänzung zum Milbenspray für Matratzen…",B0BNLPLSFB,ALLE-WASH-SACH,0.0,
"Allergoff Wash Milben Waschmittel | 6 Stück | Wirksam gegen Milben, Flöhe, Läuse, Bettwanzen | Anwendung vor der Wäsche | Ergänzung zum Milbenspray für Matratzen",B0BRBBQJVK,ALLE-WASH-PACK,0.0,
Ameisen Set 1,1551,Kaeferling Pro,12.0,
Ameisen Set 2,1552,Kaeferling Pro,24.0,
Ameisen Set 3,1553,Kaeferling Pro,36.0,
Ameisen Set 4,1554,Kaeferling Pro,48.0,
Amuleto Calm & Relax Spray 250ml ,,,1.0,
Amuleto Calm & Relax Spray 250ml - natürliches CBD Spray für Hunde & Katzen - Tierfreundliche Anwendung - für Stress-Abbau - Beruhigendes Spray ohne THC & auf Wasserbasis,"
B0D5178QQJ","
AMU_RELAX",0.0,
Amuleto Clean & Care Bath 2er Set - Zecken und Flohshampoo für Hunde & Katzen - Zeckenmittel 30 ml Konzentrat - Parasiten Shampoo für Hunde,B0DLHNH9SQ,"
AMU_C&C_2",0.0,
Amuleto Clean&Care 15ml,,,1.0,
Amuleto Clean&Care 15ml 2er,,,2.0,
"Amuleto Zecken und Flohshampoo für Hunde & Katzen - Zeckenmittel 15ml Konzentrat - Parasiten Shampoo für Hunde - Lindert Juckreiz, spendet Feuchtigkeit, beruhigt gereizte Haut - Clean & Care Bath","
B0D1WHHH78","
AMU_C&C",0.0,
Catchmaster 100i 10er,,n0-y1w7-e3yc,12.014285714285714,
Catchmaster 100i 3er,,,5.01,
Catchmaster 100i 6er,,,8.01,
Catchmaster 100i Case 100er,,,104.16666666,
Catchmaster 100i – 18x Premium Monitoring - Klebefallen - Made in USA - Gift und Biozidfrei - Mittel gegen - Kakerlaken | Heimchen | Schaben | Ohrenkneifer (6x3 Set),B08DG3V6F1,20-ANX3-M11Q,0.0,
Catchmaster 100i – 300x Premium Monitoring - Klebefallen - Made in USA - Gift und Biozidfrei - Mittel gegen - Kakerlaken | Heimchen | Schaben | Ohrenkneifer | Spinnen (300 STK),B08F7JHXJX,XK-QS7H-b300,0.0,
Catchmaster 100i – 30x Premium Schabenfalle - Kakerlaken-Falle Klebefallen - Kakerlaken bekämpfen - Gift und Biozidfrei - Mittel gegen Kakerlaken | Heimchen | Schaben,B08D246QL2,XK-QS7H-b510,0.0,
"Catchmaster 100i – Premium Monitoring - 9X Klebefallen - Made in USA - Gift und Biozidfrei - Mittel gegen - Kakerlaken | Heimchen | Schaben | Ohrenkneifer | Spinnen
 ",B08D2K51H5,"	
KQ-TOMA-M2G3",0.0,
Catchmaster 104-12 12er,,,15.027,
"Catchmaster 12x Insektenfalle Groß | Geeignet für die Bekämpfung von Spinnen, Schaben, Käfern und Motten",B09LQWW4B5,ZJ-MTP1-QJ82,0.0,
Catchmaster 288i 18er,B0DSR5HK74,,21.025,
Catchmaster 288i 6er,,,8.00833333,
Catchmaster 288i 72er,,,75.033,
